Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
CFSBCKITIAPP03,Powered On,Normal,52.11  GB,31.26  GB,46,2075,8,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKITIAPP03.adcfs.capita.co.uk,
CFSBCKITIAPR01,Powered On,Normal,104.11  GB,28.24  GB,138,4138,10,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKITIAPR01.adcfs.capita.co.uk,
cfsbckitibck01,Powered On,Normal,644.12  GB,643.64  GB,598,4136,17,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitibck01.adcfs.capita.co.uk,
cfsbckitidc01,Powered On,Normal,114.22  GB,69.6  GB,1495,4163,39,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitidc01.adcfs.capita.co.uk,
cfsbckitidc02,Powered On,Normal,114.22  GB,69.29  GB,506,4037,16,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKITIDC02.adcfs.capita.co.uk,
cfsbckitiimg01,Powered On,Normal,62.12  GB,24.44  GB,23,2081,14,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKITIIMG01.adcfs.capita.co.uk,
cfsbckitiimg02,Powered On,Normal,62.13  GB,29.55  GB,437,2083,17,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKITIIMG02.adcfs.capita.co.uk,
cfsbckitiimg03,Powered On,Normal,42.12  GB,20.94  GB,92,2023,11,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKITIIMG03.adcfs.capita.co.uk,
cfsbckitiimg04,Powered On,Normal,62.12  GB,24.2  GB,92,2083,10,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKITIIMG04.adcfs.capita.co.uk,
cfsbckitiimg05,Powered On,Normal,62.12  GB,24.43  GB,92,2082,9,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKITIIMG05.adcfs.capita.co.uk,
cfsbckitiimg06,Powered On,Normal,62.12  GB,21.93  GB,92,1983,8,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows 7 (64-bit),CFSBCKITIIMG06.adcfs.capita.co.uk,
CFSBCKITIKMS01,Powered On,Normal,82.22  GB,24.39  GB,46,2084,8,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKITIKMS01.adcfs.capita.co.uk,
