Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsnthitivsr01,Powered On,Normal,14.65  GB,7.96  GB,379,2626,28,cfsnthitiesx01.adcfs.capita.co.uk,SUSE Linux Enterprise 11 (64-bit),cfsnthitivsr01,vSphere Replication Appliance
CFSNTHLDCORE02,Powered On,Normal,79.11  GB,79.11  GB,75,4130,17,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),CFSNTHLDCORE01.adcfs.capita.co.uk,
CFSNTHLNDCTX01,Powered On,Normal,84.11  GB,84.11  GB,25,4136,2,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHLDNCTX01.adcfs.capita.co.uk,
CFSNTHMAILSWEEP,Powered On,Normal,33.61  GB,33.61  GB,75,3625,11,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfsnthmailsweep.cfsnthmailsweep,
cfsnthmysharesdev,Powered On,Normal,223.55  GB,223.55  GB,0,3103,2,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthmysharesdev.adcfs.capita.co.uk,
cfsnthMySharesTS,Powered On,Normal,122.81  GB,122.81  GB,25,4137,3,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthMySharesTS.adcfs.capita.co.uk,
CFSNTHPRTSQL01,Powered Off,Normal,546.92  GB,522.18  GB,0,0,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),,DON'T POWER ON!!!!!!!!!!!!!!!!!!!!    CB
CFSNTHPTLFTP01,Powered On,Normal,34.11  GB,34.11  GB,0,4129,1,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHPTLFTP01.adcfs.capita.co.uk,
CFSNTHPTLSVC01,Powered On,Normal,34.11  GB,34.11  GB,25,4134,1,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHPTLSVC01.adcfs.capita.co.uk,
CFSNTHPTLWEB01,Powered On,Normal,34.11  GB,34.11  GB,25,4136,1,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHPTLWEB01.GSPLVE.CAPITA.CO.UK,
cfsnthsecapp01,Powered On,Normal,38.61  GB,38.61  GB,75,4113,0,cfsnthitiesx01.adcfs.capita.co.uk,Other (32-bit),cfsnthsecapp01,
cfsnthsigdcr01,Powered On,Normal,44.13  GB,44.13  GB,69,4135,7,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSNTHSIGDCR01.signal.ad.capita.co.uk,
CFSNTHSIGSPS01,Powered On,Normal,162.11  GB,68.44  GB,115,23897,0,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHSIGSPS01.signal.ad.capita.co.uk,
CFSNTHSIGSPS02,Powered On,Normal,162.14  GB,60.03  GB,92,20491,0,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHSIGSPS02.signal.ad.capita.co.uk,
cfsnthsigsql01,Powered On,Normal,304.38  GB,99.51  GB,713,35128,0,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),cfsnthsigsql01.signal.ad.capita.co.uk,
CFSNTHSIGWEB01,Powered On,Normal,146.39  GB,45.35  GB,115,16479,0,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHSIGWEB01.signal.ad.capita.co.uk,
CFSNTHSIGWEB02,Powered On,Normal,146.11  GB,45.23  GB,115,16479,2,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHSIGWEB02.signal.ad.capita.co.uk,
